"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'review-comment""","""'.github/workflows/review-comment.yml""",273,270,"""'hosted""","""'ubuntu-latest"""
"""'close-on-adding-invalid-label""","""'.github/workflows/close-on-invalid-label.yaml""",238,238,"""'hosted""","""'ubuntu-latest"""
"""'filterContentDir""","""'.github/workflows/content-changes-table-comment.yml""",224,39,"""'hosted""","""'ubuntu-latest"""
"""'move_issues""","""'.github/workflows/move-help-wanted-issues.yml""",207,207,"""'hosted""","""'ubuntu-latest"""
"""'stale_staff""","""'.github/workflows/triage-stale-check.yml""",207,203,"""'hosted""","""'ubuntu-latest"""
"""'stale_contributor""","""'.github/workflows/triage-stale-check.yml""",203,203,"""'hosted""","""'ubuntu-latest"""
"""'close-external""","""'.github/workflows/auto-close-dependencies.yml""",186,186,"""'hosted""","""'ubuntu-latest"""
"""'build-and-push-nonprod-cache""","""'.github/workflows/main-preview-docker-cache.yml""",185,66,"""'hosted""","""'ubuntu-latest"""
"""'create-sme-review-tracking-issue""","""'.github/workflows/sme-review-tracking-issue.yml""",159,159,"""'hosted""","""'ubuntu-latest"""
"""'Destroy""","""'.github/workflows/azure-preview-env-destroy.yml""",126,117,"""'hosted""","""'ubuntu-latest"""
"""'filterContentDir""","""'.github/workflows/comment-content-changes-table.yml""",122,122,"""'hosted""","""'ubuntu-latest"""
"""'validate-asset-images""","""'.github/workflows/validate-asset-images.yml""",115,114,"""'hosted""","""'ubuntu-latest"""
"""'stale_needs-sme""","""'.github/workflows/needs-sme-stale-check.yaml""",88,87,"""'hosted""","""'ubuntu-latest"""
"""'stale""","""'.github/workflows/stale.yml""",87,87,"""'hosted""","""'ubuntu-latest"""
"""'add-issue-comment""","""'.github/workflows/needs-sme-workflow.yml""",85,85,"""'hosted""","""'ubuntu-latest"""
"""'move-content-test""","""'.github/workflows/move-content.yml""",85,85,"""'hosted""","""'ubuntu-latest"""
"""'comment""","""'.github/workflows/merged-notification.yml""",84,84,"""'hosted""","""'ubuntu-latest"""
"""'lint""","""'.github/workflows/package-lock-lint.yml""",82,82,"""'hosted""","""'ubuntu-latest"""
"""'check-content-linter-rules-docs""","""'.github/workflows/content-linter-rules-docs.yml""",80,78,"""'hosted""","""'ubuntu-latest"""
"""'add-pr-comment""","""'.github/workflows/needs-sme-workflow.yml""",71,71,"""'hosted""","""'ubuntu-latest"""
"""'stale_contributor""","""'.github/workflows/triage-stale-check.yml""",62,62,"""'hosted""","""'ubuntu-latest"""
"""'stale_staff""","""'.github/workflows/triage-stale-check.yml""",62,62,"""'hosted""","""'ubuntu-latest"""
"""'close-if-invalid""","""'.github/workflows/close-on-invalid-label.yaml""",60,60,"""'hosted""","""'ubuntu-latest"""
"""'unmark_for_review""","""'.github/workflows/move-ready-to-merge-pr.yaml""",58,58,"""'hosted""","""'ubuntu-latest"""
"""'Request a review from the docs-content team""","""'.github/workflows/os-ready-for-review.yml""",54,50,"""'hosted""","""'ubuntu-latest"""
"""'move-reopened-issue-to-triage""","""'.github/workflows/move-reopened-issues-to-triage.yaml""",52,52,"""'hosted""","""'ubuntu-latest"""
"""'validate-asset-images""","""'.github/workflows/validate-asset-images.yml""",52,52,"""'hosted""","""'ubuntu-latest"""
"""'dont-delete-assets""","""'.github/workflows/dont-delete-assets.yml""",44,43,"""'hosted""","""'ubuntu-latest"""
"""'close-external""","""'.github/workflows/auto-close-dependencies.yml""",42,42,"""'hosted""","""'ubuntu-latest"""
"""'postOnCodeChanges""","""'.github/workflows/comment-code-changes.yml""",38,38,"""'hosted""","""'ubuntu-latest"""
"""'close_empty_pr""","""'.github/workflows/check-for-spammy-prs.yml""",34,34,"""'hosted""","""'ubuntu-latest"""
"""'create-sme-review-tracking-issue""","""'.github/workflows/sme-review-tracking-issue.yml""",27,27,"""'hosted""","""'ubuntu-latest"""
"""'Transfer issue""","""'.github/workflows/copy-api-issue-to-internal.yml""",24,24,"""'hosted""","""'ubuntu-latest"""
"""'dont-delete-assets""","""'.github/workflows/dont-delete-assets.yml""",23,23,"""'hosted""","""'ubuntu-latest"""
"""'Dependabot""","""'dynamic/dependabot/dependabot-updates""",21,13,"""'hosted""","""'ubuntu-latest"""
"""'move-reopened-issue-to-triage""","""'.github/workflows/move-reopened-issues-to-triage.yaml""",19,19,"""'hosted""","""'ubuntu-latest"""
"""'Transfer issue""","""'.github/workflows/copy-api-issue-to-internal.yml""",16,16,"""'hosted""","""'ubuntu-latest"""
"""'add-issue-comment""","""'.github/workflows/needs-sme-workflow.yml""",16,16,"""'hosted""","""'ubuntu-latest"""
"""'purge-old-deployment-environments""","""'.github/workflows/purge-old-deployment-environments.yml""",15,15,"""'hosted""","""'ubuntu-latest"""
"""'Test for equality""","""'.github/workflows/repo-sync.yml""",15,15,"""'hosted""","""'ubuntu-latest"""
"""'Add staging/live links to PR""","""'.github/workflows/content-changes-table-comment.yml""",13,9,"""'hosted""","""'ubuntu-latest"""
"""'add-reviewer""","""'.github/workflows/reviewers-dependabot.yml""",12,12,"""'hosted""","""'ubuntu-latest"""
"""'test (rendering-fixtures)""","""'.github/workflows/test.yml""",11,2,"""'hosted""","""'ubuntu-latest"""
"""'add-pr-comment""","""'.github/workflows/needs-sme-workflow.yml""",11,11,"""'hosted""","""'ubuntu-latest"""
"""'move_issues""","""'.github/workflows/move-help-wanted-issues.yml""",7,7,"""'hosted""","""'ubuntu-latest"""
"""'test (graphql)""","""'.github/workflows/test.yml""",7,2,"""'hosted""","""'ubuntu-latest"""
"""'build (20.x)""","""'.github/workflows/webpack.yml""",7,4,"""'hosted""","""'ubuntu-latest"""
"""'test (meta)""","""'.github/workflows/test.yml""",6,2,"""'hosted""","""'ubuntu-latest"""
"""'build""","""'.github/workflows/docker-image.yml""",6,6,"""'hosted""","""'ubuntu-latest"""
"""'test (rendering)""","""'.github/workflows/test.yml""",5,2,"""'hosted""","""'ubuntu-latest"""
"""'test (content)""","""'.github/workflows/test.yml""",5,2,"""'hosted""","""'ubuntu-latest"""
"""'build (22.x)""","""'.github/workflows/npm-grunt.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'add-reviewer""","""'.github/workflows/reviewers-dependabot.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'build (20.x)""","""'.github/workflows/node.js.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'build (18.x)""","""'.github/workflows/node.js.yml""",4,3,"""'hosted""","""'ubuntu-latest"""
"""'test (unit)""","""'.github/workflows/test.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'build (22.x)""","""'.github/workflows/node.js.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'test (routing)""","""'.github/workflows/test.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'test (linting)""","""'.github/workflows/test.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'test""","""'.github/workflows/deno.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'build (18.x)""","""'.github/workflows/node.js.yml""",4,2,"""'hosted""","""'ubuntu-latest"""
"""'build (18.x)""","""'.github/workflows/webpack.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'build (20.x)""","""'.github/workflows/npm-grunt.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'Build and deploy Azure preview environment""","""'.github/workflows/azure-preview-env-deploy.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'build (22.x)""","""'.github/workflows/webpack.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'build (18.x)""","""'.github/workflows/npm-grunt.yml""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'test (rendering-fixtures)""","""'.github/workflows/test.yml""",4,1,"""'hosted""","""'ubuntu-latest"""
"""'test (meta)""","""'.github/workflows/test.yml""",4,1,"""'hosted""","""'ubuntu-latest"""
"""'test (graphql)""","""'.github/workflows/test.yml""",4,1,"""'hosted""","""'ubuntu-latest"""
"""'playwright-tests""","""'.github/workflows/headless-tests.yml""",3,1,"""'hosted""","""'ubuntu-latest"""
